fips,cbsa_sub,area_name,nmdda_2023
36077,NCNTY36077N36077,"Otsego County, NY",0
26113,NCNTY26113N26113,"Missaukee County, MI",0
13009,NCNTY13009N13009,"Baldwin County, GA",0
29169,NCNTY29169N29169,"Pulaski County, MO",0
48053,NCNTY48053N48053,"Burnet County, TX",0
23007,NCNTY23007N23007,"Franklin County, ME",0
5023,NCNTY05023N05023,"Cleburne County, AR",0
8025,NCNTY08025N08025,"Crowley County, CO",0
21009,NCNTY21009N21009,"Barren County, KY",0
13105,NCNTY13105N13105,"Elbert County, GA",0
48127,NCNTY48127N48127,"Dimmit County, TX",0
37031,NCNTY37031N37031,"Carteret County, NC",0
18031,NCNTY18031N18031,"Decatur County, IN",0
37195,NCNTY37195N37195,"Wilson County, NC",0
48097,NCNTY48097N48097,"Cooke County, TX",0
21195,NCNTY21195N21195,"Pike County, KY",0
53001,NCNTY53001N53001,"Adams County, WA",0
29161,NCNTY29161N29161,"Phelps County, MO",0
29217,NCNTY29217N29217,"Vernon County, MO",0
13129,NCNTY13129N13129,"Gordon County, GA",0
